Date,Day,Weight (kg),Calories In,Activity (mins),Steps,Water (L),Mood,Notes
2025-07-31,Day 1,,,,,,,
2025-08-01,Day 2,,,,,,,
2025-08-02,Day 3,,,,,,,
2025-08-03,Day 4,,,,,,,
2025-08-04,Day 5,,,,,,,
2025-08-05,Day 6,,,,,,,
2025-08-06,Day 7,,,,,,,
2025-08-07,Day 8,,,,,,,
2025-08-08,Day 9,,,,,,,
2025-08-09,Day 10,,,,,,,
2025-08-10,Day 11,,,,,,,
2025-08-11,Day 12,,,,,,,
2025-08-12,Day 13,,,,,,,
2025-08-13,Day 14,,,,,,,
2025-08-14,Day 15,,,,,,,
2025-08-15,Day 16,,,,,,,
2025-08-16,Day 17,,,,,,,
2025-08-17,Day 18,,,,,,,
2025-08-18,Day 19,,,,,,,
2025-08-19,Day 20,,,,,,,
2025-08-20,Day 21,,,,,,,
2025-08-21,Day 22,,,,,,,
2025-08-22,Day 23,,,,,,,
2025-08-23,Day 24,,,,,,,
2025-08-24,Day 25,,,,,,,
2025-08-25,Day 26,,,,,,,
2025-08-26,Day 27,,,,,,,
2025-08-27,Day 28,,,,,,,
2025-08-28,Day 29,,,,,,,
2025-08-29,Day 30,,,,,,,
2025-08-30,Day 31,,,,,,,
2025-08-31,Day 32,,,,,,,
2025-09-01,Day 33,,,,,,,
2025-09-02,Day 34,,,,,,,
2025-09-03,Day 35,,,,,,,
2025-09-04,Day 36,,,,,,,
2025-09-05,Day 37,,,,,,,
2025-09-06,Day 38,,,,,,,
2025-09-07,Day 39,,,,,,,
2025-09-08,Day 40,,,,,,,
2025-09-09,Day 41,,,,,,,
2025-09-10,Day 42,,,,,,,
2025-09-11,Day 43,,,,,,,
2025-09-12,Day 44,,,,,,,
2025-09-13,Day 45,,,,,,,
2025-09-14,Day 46,,,,,,,
2025-09-15,Day 47,,,,,,,
2025-09-16,Day 48,,,,,,,
2025-09-17,Day 49,,,,,,,
2025-09-18,Day 50,,,,,,,
2025-09-19,Day 51,,,,,,,
2025-09-20,Day 52,,,,,,,
2025-09-21,Day 53,,,,,,,
2025-09-22,Day 54,,,,,,,
2025-09-23,Day 55,,,,,,,
2025-09-24,Day 56,,,,,,,
2025-09-25,Day 57,,,,,,,
2025-09-26,Day 58,,,,,,,
2025-09-27,Day 59,,,,,,,
2025-09-28,Day 60,,,,,,,
2025-09-29,Day 61,,,,,,,
2025-09-30,Day 62,,,,,,,
2025-10-01,Day 63,,,,,,,
